微信号,主体,运营项目,运营平台,阅读量/人数,专长,预计需求,预计需求程度,预计用户反馈,推送预计,,币种,投资时长,交易种类,,
宋继明,个人,币圈量价分析掌门人,微信,80,量价分析,微信引流、收费群,高,中,高,,主流,长、中（短）,现货,,
币有我,团体,币圈情报站 价值投资,芥末圈（198/月）,555,/,圈子引流,中,低,低,,主流,/,现货,,
小西瓜,公司,币圈邦德,微信,3000,量价分析、项目调查,/,低,高,中,,主流盘面+山寨项目,长、中,现货,,
小西瓜,公司,蚁块财经,微信,30,快讯,微信引流,中,/,/,,/,/,/,,
,,,,,,,,,,,,,,,
宋继明推送点：,,,,,,,,,,,,,,,
量价分析大神,,,,,,,,,,,,,,,
微信自媒体,,,,,,,,,,,,,,,
实时掌握比特币最新动态,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
币有我推送点：,,,,,,,,,,,,,,,
知名圈主,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
小西瓜推送点：,,,,,,,,,,,,,,,
币圈邦德,,,,,,,,,,,,,,,
主流实时分析,,,,,,,,,,,,,,,
山寨项目评级,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
